しょう	少	Few	kanji	しょう:on, すこ:kun, すく:kun
ひ	引	Pull	kanji	ひ:kun, いん:on
しん	心	Heart	kanji	しん:on, こころ:kun
と	戸	Door	kanji	と:kun, こ:on
ほう	方	Direction	kanji	ほう:on, かた:kun
ぎゅう	牛	Cow	kanji	ぎゅう:on, うし:kun
ちち, とう	父	Father	kanji	ちち:kun, とう:kun, ふ:on
もう	毛	Fur	kanji	もう:on, け:kun
し	止	Stop	kanji	し:on, と:kun, や:kun
きょう, けい	兄	Older Brother	kanji	きょう:on, けい:on, あに:kun, にい:kun
ふゆ	冬	Winter	kanji	ふゆ:kun, とう:on
ほく	北	North	kanji	ほく:on, きた:kun
はん	半	Half	kanji	はん:on, なか:kun
こ	古	Old	kanji	こ:on, ふる:kun
だい, たい	台	Machine	kanji	だい:on, たい:on
がい	外	Outside	kanji	がい:on, そと:kun, はず:kun
し	市	City	kanji	し:on, いち:kun
ひろ	広	Wide	kanji	ひろ:kun, こう:on
はは, かあ	母	Mother	kanji	はは:kun, かあ:kun, ぼ:on
よう	用	Task	kanji	よう:on, もち:kun
や	矢	Arrow	kanji	や:kun, し:on
せい, せ	世	World	kanji	せい:on, せ:on, よ:kun
しゅ	主	Master	kanji	しゅ:on, おも:kun, ぬし:kun, あるじ:kun
た	他	Other	kanji	た:on, ほか:kun
だい, たい	代	Substitute	kanji	だい:on, たい:on, か:kun, かわ:kun, よ:kun, しろ:kun
しゃ	写	Copy	kanji	しゃ:on, うつ:kun
きょ, こ	去	Past	kanji	きょ:on, こ:on, さ:kun
ごう	号	Number	kanji	ごう:on
おう	央	Center	kanji	おう:on
へい, ひょう, びょう	平	Flat	kanji	へい:on, ひょう:on, びょう:on, たい:kun, ひら:kun
だ	打	Hit	kanji	だ:on, う:kun, ぶ:kun
こおり	氷	Ice	kanji	こおり:kun, ひょう:on
もう	申	Say Humbly	kanji	もう:kun, しん:on
ひ	皮	Skin	kanji	ひ:on, かわ:kun
さら	皿	Plate	kanji	さら:kun
れい	礼	Thanks	kanji	れい:on
きゅう	休	Rest	kanji	きゅう:on, やす:kun
せん	先	Previous	kanji	せん:on, さき:kun, ま:kun
めい, みょう	名	Name	kanji	めい:on, みょう:on, な:kun
じ	字	Letter	kanji	じ:on
ねん	年	Year	kanji	ねん:on, とし:kun
そう	早	Early	kanji	そう:on, はや:kun, さ:kun
き, け	気	Energy	kanji	き:on, け:on
ひゃく	百	Hundred	kanji	ひゃく:on, もも:kun
たけ	竹	Bamboo	kanji	たけ:kun, ちく:on
いと	糸	Thread	kanji	いと:kun, し:on
みみ	耳	Ear	kanji	みみ:kun, じ:on
むし	虫	Insect	kanji	むし:kun, ちゅう:on, き:on
むら	村	Village	kanji	むら:kun, そん:on
だん, なん	男	Man	kanji	だん:on, なん:on, おとこ:kun
ちょう	町	Town	kanji	ちょう:on, まち:kun
はな	花	Flower	kanji	はな:kun, か:on, け:on
み	見	See	kanji	み:kun, けん:on
かい	貝	Shellfish	kanji	かい:kun, ばい:on
あか	赤	Red	kanji	あか:kun, せき:on
そく	足	Foot	kanji	そく:on, あし:kun, た:kun
しゃ	車	Car	kanji	しゃ:on, くるま:kun
ふ, ぶ	不	Not	kanji	ふ:on, ぶ:on
し	仕	Doing	kanji	し:on, つか:kun
こう	交	Mix	kanji	こう:on, まじ:kun, ま:kun, か:kun
かい	会	Meet	kanji	かい:on, あ:kun
こう	光	Sunlight	kanji	こう:on, ひかり:kun, ひか:kun
どう	同	Same	kanji	どう:on, おな:kun
かい	回	Times	kanji	かい:on, まわ:kun
た	多	Many	kanji	た:on, おお:kun
とう	当	Correct	kanji	とう:on, あ:kun
まい	毎	Every	kanji	まい:on, ごと:kun
ち	池	Pond	kanji	ち:on, いけ:kun
べい, まい	米	Rice	kanji	べい:on, まい:on, こめ:kun
